GEOID,NAME,var,f,m,total
01,Alabama,age_sex_0_4_yrs,143216,143427,286643
01,Alabama,age_sex_10_14_yrs,145750,155997,301747
01,Alabama,age_sex_15_17_yrs,94573,103766,198339
01,Alabama,age_sex_18_19_yrs,68448,68900,137348
01,Alabama,age_sex_20_yrs,37055,35896,72951
01,Alabama,age_sex_21_yrs,31213,34648,65861
01,Alabama,age_sex_22_24_yrs,95586,91324,186910
01,Alabama,age_sex_25_29_yrs,163997,163233,327230
01,Alabama,age_sex_30_34_yrs,154129,148206,302335
01,Alabama,age_sex_35_39_yrs,155050,144632,299682
01,Alabama,age_sex_40_44_yrs,152028,146559,298587
01,Alabama,age_sex_45_49_yrs,163603,150129,313732
01,Alabama,age_sex_5_9_yrs,150739,162049,312788
01,Alabama,age_sex_50_54_yrs,169017,162874,331891
01,Alabama,age_sex_55_59_yrs,178373,162520,340893
01,Alabama,age_sex_60_61_yrs,65377,56712,122089
01,Alabama,age_sex_62_64_yrs,93912,86410,180322
01,Alabama,age_sex_65_66_yrs,62562,50538,113100
01,Alabama,age_sex_67_69_yrs,81420,74285,155705
01,Alabama,age_sex_70_74_yrs,107806,89058,196864
01,Alabama,age_sex_75_79_yrs,78322,58399,136721
01,Alabama,age_sex_80_84_yrs,57542,37631,95173
01,Alabama,age_sex_85_or_more_yrs,57530,28859,86389
01,Alabama,age_sex_total_pop,2507248,2356052,4863300
02,Alaska,age_sex_0_4_yrs,25333,27162,52495
02,Alaska,age_sex_10_14_yrs,21327,29741,51068
02,Alaska,age_sex_15_17_yrs,14086,15986,30072
02,Alaska,age_sex_18_19_yrs,8011,10746,18757
02,Alaska,age_sex_20_yrs,4106,5080,9186
02,Alaska,age_sex_21_yrs,4848,6496,11344
02,Alaska,age_sex_22_24_yrs,14734,21626,36360
02,Alaska,age_sex_25_29_yrs,31125,32916,64041
02,Alaska,age_sex_30_34_yrs,27451,30137,57588
02,Alaska,age_sex_35_39_yrs,23950,25344,49294
02,Alaska,age_sex_40_44_yrs,21708,21371,43079
02,Alaska,age_sex_45_49_yrs,20767,23312,44079
02,Alaska,age_sex_5_9_yrs,27275,26386,53661
02,Alaska,age_sex_50_54_yrs,22738,26307,49045
02,Alaska,age_sex_55_59_yrs,25422,28659,54081
02,Alaska,age_sex_60_61_yrs,9955,7990,17945
02,Alaska,age_sex_62_64_yrs,10390,13577,23967
02,Alaska,age_sex_65_66_yrs,6090,7545,13635
02,Alaska,age_sex_67_69_yrs,8125,9829,17954
02,Alaska,age_sex_70_74_yrs,10669,9839,20508
02,Alaska,age_sex_75_79_yrs,5275,5816,11091
02,Alaska,age_sex_80_84_yrs,3327,2545,5872
02,Alaska,age_sex_85_or_more_yrs,4609,2163,6772
02,Alaska,age_sex_total_pop,351321,390573,741894
04,Arizona,age_sex_0_4_yrs,213503,222819,436322
04,Arizona,age_sex_10_14_yrs,225373,230178,455551
04,Arizona,age_sex_15_17_yrs,136921,142736,279657
04,Arizona,age_sex_18_19_yrs,94826,100530,195356
04,Arizona,age_sex_20_yrs,47828,53003,100831
04,Arizona,age_sex_21_yrs,49259,50126,99385
04,Arizona,age_sex_22_24_yrs,132953,144715,277668
04,Arizona,age_sex_25_29_yrs,230945,250242,481187
04,Arizona,age_sex_30_34_yrs,217753,230547,448300
04,Arizona,age_sex_35_39_yrs,217473,223467,440940
04,Arizona,age_sex_40_44_yrs,203678,204697,408375
04,Arizona,age_sex_45_49_yrs,211580,211759,423339
04,Arizona,age_sex_5_9_yrs,222822,237070,459892
04,Arizona,age_sex_50_54_yrs,214395,208779,423174
04,Arizona,age_sex_55_59_yrs,217833,196864,414697
04,Arizona,age_sex_60_61_yrs,91212,83469,174681
04,Arizona,age_sex_62_64_yrs,127899,113991,241890
04,Arizona,age_sex_65_66_yrs,86643,72081,158724
04,Arizona,age_sex_67_69_yrs,122159,110481,232640
04,Arizona,age_sex_70_74_yrs,153483,139529,293012
04,Arizona,age_sex_75_79_yrs,113623,101197,214820
04,Arizona,age_sex_80_84_yrs,76930,65578,142508
04,Arizona,age_sex_85_or_more_yrs,77752,50370,128122
04,Arizona,age_sex_total_pop,3486843,3444228,6931071
05,Arkansas,age_sex_0_4_yrs,88594,100122,188716
05,Arkansas,age_sex_10_14_yrs,96242,101091,197333
05,Arkansas,age_sex_15_17_yrs,59636,60384,120020
05,Arkansas,age_sex_18_19_yrs,46649,48382,95031
05,Arkansas,age_sex_20_yrs,18671,24532,43203
05,Arkansas,age_sex_21_yrs,18105,20078,38183
05,Arkansas,age_sex_22_24_yrs,56052,57971,114023
05,Arkansas,age_sex_25_29_yrs,99061,95591,194652
05,Arkansas,age_sex_30_34_yrs,94727,93199,187926
05,Arkansas,age_sex_35_39_yrs,93489,91818,185307
05,Arkansas,age_sex_40_44_yrs,90410,89249,179659
05,Arkansas,age_sex_45_49_yrs,93749,92308,186057
05,Arkansas,age_sex_5_9_yrs,98710,102581,201291
05,Arkansas,age_sex_50_54_yrs,99529,93449,192978
05,Arkansas,age_sex_55_59_yrs,101990,93123,195113
05,Arkansas,age_sex_60_61_yrs,39124,35279,74403
05,Arkansas,age_sex_62_64_yrs,54705,54018,108723
05,Arkansas,age_sex_65_66_yrs,34457,30712,65169
05,Arkansas,age_sex_67_69_yrs,52569,47967,100536
05,Arkansas,age_sex_70_74_yrs,64588,53995,118583
05,Arkansas,age_sex_75_79_yrs,46969,38267,85236
05,Arkansas,age_sex_80_84_yrs,33387,26817,60204
05,Arkansas,age_sex_85_or_more_yrs,38053,17849,55902
05,Arkansas,age_sex_total_pop,1519466,1468782,2988248
06,California,age_sex_0_4_yrs,1214113,1268309,2482422
06,California,age_sex_10_14_yrs,1242791,1303503,2546294
06,California,age_sex_15_17_yrs,754594,785153,1539747
06,California,age_sex_18_19_yrs,512158,533249,1045407
06,California,age_sex_20_yrs,277954,299300,577254
06,California,age_sex_21_yrs,261938,302693,564631
06,California,age_sex_22_24_yrs,812093,853142,1665235
06,California,age_sex_25_29_yrs,1484695,1576509,3061204
06,California,age_sex_30_34_yrs,1387571,1453389,2840960
06,California,age_sex_35_39_yrs,1321087,1332066,2653153
06,California,age_sex_40_44_yrs,1251500,1263413,2514913
06,California,age_sex_45_49_yrs,1307546,1302878,2610424
06,California,age_sex_5_9_yrs,1238806,1285980,2524786
06,California,age_sex_50_54_yrs,1301011,1286786,2587797
06,California,age_sex_55_59_yrs,1264512,1216802,2481314
06,California,age_sex_60_61_yrs,495074,461494,956568
06,California,age_sex_62_64_yrs,654758,594711,1249469
06,California,age_sex_65_66_yrs,405577,365885,771462
06,California,age_sex_67_69_yrs,556591,490955,1047546
06,California,age_sex_70_74_yrs,689917,583114,1273031
06,California,age_sex_75_79_yrs,492409,402744,895153
06,California,age_sex_80_84_yrs,369869,273838,643707
06,California,age_sex_85_or_more_yrs,462222,255318,717540
06,California,age_sex_total_pop,19758786,19491231,39250017
